,logFC,pvalue,FDR
RUNX3,2.0846228112303,1.39855848491077e-06,0.000151044316370363
AFF4,-3.00905803274446,1.428098661993e-06,0.000152678793313468
RPS20,-0.861530914311409,1.43511211447844e-06,0.000152678793313468
SFT2D1,-3.74670909563308,1.4814547918407e-06,0.000156441626018378
FMC1,-4.37373173603187,1.49770151192108e-06,0.000156994358484904
NSMCE1,-3.25748239946281,1.54906549731937e-06,0.00016119326810062
MSRB2,-5.12675242208342,1.70559949674853e-06,0.000176195843664109
ROMO1,-2.15138391862873,1.81219947770206e-06,0.000185861264418133
ARHGAP26,3.47868957177837,1.83407554643633e-06,0.000186761292785688
TMEM19,-6.04149116874588,1.96695150822546e-06,0.000198871352491221
PARP8,2.67503917611026,2.06779239564359e-06,0.000207240759980602
KIFC1,-6.65903636907042,2.0788039195585e-06,0.000207240759980602
DTHD1,5.49863486859106,2.55233114543341e-06,0.000251802874592398
C1orf21,4.74499406165506,2.58146121823177e-06,0.000251802874592398
NDUFA12,-1.98313793714333,2.58519601803453e-06,0.000251802874592398
TBCA,-1.83158740766233,2.59645220013205e-06,0.000251802874592398
RPS7P14,-1.95898911669237,2.73036451514663e-06,0.000263000517080611
PLCL1,-12.4679445141101,2.84463369037979e-06,0.00027216844221513
ZNF326,-3.05965800819779,2.93253682892569e-06,0.000278708300221098
TBK1,7.4500699262581,2.957222776101e-06,0.000279193164874807
GAPDHP60,-5.07667677563685,3.05587838178578e-06,0.000286609225070645
DYNLL1P1,-3.7666815798943,3.12068050056791e-06,0.000290773994876445
AC023886.2,-4.20503696260247,3.37336749112183e-06,0.000312277447749563
PBRM1,-2.43864081414228,3.4289858099612e-06,0.000315378204560045
MAP3K5,5.76952067372737,3.83102011713987e-06,0.000350096299935551
RGS10,-1.85493231128027,3.85601002717006e-06,0.00035013553469641
BTF3P7,-2.0687592650415,4.22691194934544e-06,0.000381385169302965
TAGAP,3.39146993228404,4.37443268708204e-06,0.000392213285453092
KLF3,4.62993349243224,4.77311503921385e-06,0.000425284549993954
FXYD2,-11.6741648193706,4.8493170154984e-06,0.000429390455732579
QARS,-2.96501637994625,5.00935738101393e-06,0.000440823449529226
ZNF43,-4.23168743414588,5.16817204487818e-06,0.000452008961176585
ATP5MGP2,-2.92544193585971,5.24442424654215e-06,0.000455881171089664
NBEAL2,3.4759234848904,5.3632364296341e-06,0.000463383627520386
HP1BP3,-1.73095538116762,5.52632805150832e-06,0.000474005115773011
SLC7A3,-5.89600711701779,5.55266935564624e-06,0.000474005115773011
PHF20L1,-2.23524588267041,5.75530520874334e-06,0.000488378756284792
SLC25A29,-5.86239404205333,5.89917135407347e-06,0.000494769109544232
AC099535.1,-2.79857367995522,5.9000244544416e-06,0.000494769109544232
SEC62,-1.7509475258506,6.33433880903311e-06,0.000527418913689151
GAB3,5.26232092939103,6.36873604176191e-06,0.000527418913689151
CHMP5,-3.22634260085332,6.40035578480802e-06,0.000527418913689151
PTMAP2,-2.99609757391188,6.49765912619227e-06,0.00053235993392527
HMGB2,-10.4387069019165,6.55218362222154e-06,0.000533759598390802
MTCO3P12,-2.84391665595556,6.63713750215233e-06,0.000537608137674339
KDM2B,-4.15377045407681,6.71525420081753e-06,0.000540862507835338
SARDH,-6.05970112006311,6.99053413033557e-06,0.000559871093045303
AC007688.2,-2.26781806888317,7.40030256418667e-06,0.000589378286899693
RAB27A,3.67348579023493,7.47475595330727e-06,0.000592000671501936
MAGED1,-3.7109872355061,7.80944591860511e-06,0.000615090944837759
RPL7P26,-0.949683321572297,8.4057305933527e-06,0.000658418106257341
ATP6V1G1,-1.85860066683197,8.47918922164403e-06,0.00066054274067627
RPL10P5,-1.66651274854585,8.65579626696533e-06,0.000670636041205749
FCRL6,10.2713022003558,8.79970207412484e-06,0.000678100285236344
RPL5P18,-2.10655699882871,8.93582997341102e-06,0.000681688957046443
COMMD3,-3.05425424938945,8.94190761557834e-06,0.000681688957046443
PTOV1,-3.25340758845811,9.04379614619089e-06,0.000685789137553709
ABHD17B,-3.17949887130063,9.24945956770618e-06,0.000697673521678409
EIF3H,-1.37061216213677,9.43903137351487e-06,0.000708225427688569
MTATP6P1,-1.93592184666389,9.58984343735203e-06,0.000710639026569799
AC140076.1,-0.927744259140665,9.60391668258787e-06,0.000710639026569799
ZNHIT1,-2.98700440247106,9.66957674486402e-06,0.000710639026569799
