,logFC,pvalue,FDR
PLAA,-0.998660740747441,0.347662484165781,0.721266091201058
CFH,-2.02057454626254,0.347681017026773,0.721266091201058
DBIP1,-2.12882607159616,0.347781431427635,0.721369429133183
SLC2A3,-2.50692320282453,0.347932065730749,0.721576888137556
PIGN,-1.10876758712882,0.348042718881737,0.72170138187317
ZNF676,-3.74504255441018,0.348177080213158,0.721817413092137
RPL23AP82,3.35458529915374,0.348253241728673,0.721817413092137
AC099568.2,-2.53858271346556,0.348315336893654,0.721817413092137
AC087685.1,2.1804222526337,0.348335631987264,0.721817413092137
MTCO1P22,-1.24040208873839,0.348467571104785,0.721817413092137
AC026471.4,1.99719525473907,0.34852312876965,0.721817413092137
ZNF799,-1.64853073941007,0.348586268653896,0.721817413092137
RAD52,1.82147977821729,0.348645923769199,0.721817413092137
COG6,-2.69352151381861,0.348678887713593,0.721817413092137
WDR27,1.81921375439438,0.348686370874118,0.721817413092137
KDM6A,0.885968518562647,0.348713370777802,0.721817413092137
EPB41L4A-AS1,-4.98320145742895,0.348753124055077,0.721817413092137
LARS2,22.5035816855596,0.348756898244854,0.721817413092137
ZNF415,-2.44254051917886,0.348902481412913,0.72198384618861
RPL23AP7,1.46756760042106,0.348938601307486,0.72198384618861
AP003175.1,-2.05265513309351,0.349006817425769,0.722011193251862
UTP11,-1.90626029867182,0.349084454107139,0.722011193251862
AC133644.3,-1.56213340289575,0.349190998266206,0.722011193251862
MRRFP1,-2.2901482458237,0.349214550924698,0.722011193251862
FKTN,-1.30081111193648,0.349227884645582,0.722011193251862
OTULIN,0.901946935686322,0.349255695052248,0.722011193251862
GAREM2,6.41991206758016,0.349403356682722,0.722211722904
ZBTB9,2.05365103821233,0.349471083476112,0.722246994206357
PRDM10,-1.35353412835785,0.349767804637844,0.7227554461396
SREBF1,-0.920121019913563,0.350028043022136,0.72313300735321
LINC01001,1.77571573917906,0.350051969959631,0.72313300735321
ITK,-0.928958548523878,0.350233452765451,0.723403086442229
RRN3P3,4.44798409681022,0.350314693321913,0.723466068085933
BROX,1.12470639678573,0.350426811208043,0.723592789771418
ZNF341,-4.58419970178103,0.350583906247421,0.723808221469255
RPSAP73,2.57792283663391,0.350632686410401,0.723808221469255
FBLN5,-1.29998559008651,0.350814268524798,0.724078212261404
RMDN1,-1.00496650862233,0.350890084495524,0.724129855901591
NUP85,0.912734929943643,0.350954507200149,0.724157975777293
AC006460.2,2.70859742228335,0.351252725528134,0.724668430554135
HCG18,-0.450212967765899,0.351337777544763,0.724739018474626
ZNHIT6,-2.0562905469396,0.351396879333321,0.724756063624975
ADAMTS6,-1.42897525114285,0.35158005529952,0.724879840208824
AC079331.2,-2.05156364340343,0.351603550798281,0.724879840208824
BCL7C,-1.23756748904624,0.351609434276376,0.724879840208824
MAL,-2.95179655407296,0.351762624012712,0.725090799295146
MRPL2,-1.30850368149794,0.351944387326652,0.725328958048458
PDSS2,-1.64386260017873,0.352021944295711,0.725328958048458
SLC30A5,-0.967680464079659,0.352030798312099,0.725328958048458
HIPK3,1.46125620469869,0.352386189155407,0.725956287947901
KCNQ3,27.0769119087207,0.35247195505562,0.726028058268014
ACAD9,2.00436298490262,0.352607400467414,0.726159257758668
SLC3A2,-1.5248806664969,0.35266476712496,0.726159257758668
MCU,1.65787521915569,0.352688461049454,0.726159257758668
SBDSP1,2.03885353498765,0.352800457266023,0.726181451067435
NELFB,-3.33101346531223,0.35280111743077,0.726181451067435
C14orf119,-0.638145347653719,0.352946158553793,0.726279260918221
MTERF4,0.900952645434573,0.353029615432524,0.726279260918221
CAMLG,-0.762965309919282,0.353032667715764,0.726279260918221
USP30-AS1,4.24352669212456,0.353052418501913,0.726279260918221
SCML2,-1.82224251046809,0.353131691933151,0.72628627479184
KLHL5,1.28406730185285,0.353219253200874,0.72628627479184
CEP41,-1.20910138558265,0.353279196329195,0.72628627479184
EIF4B,-0.328679305681608,0.353310199982779,0.72628627479184
SENP1,-1.24193314074281,0.353310558058461,0.72628627479184
PABPC1,-0.478834562976049,0.353621420935,0.726820498392353
ERICH6-AS1,-3.78141063616694,0.353722608350228,0.726923670843426
ZNF37BP,-0.553951445078076,0.353804199075492,0.726986546846385
AL136968.2,-0.641517742948699,0.353965585472182,0.727132975868664
AGO2,-0.964167655152039,0.354044973630441,0.727132975868664
EIF1AD,1.53066598749957,0.354064426128333,0.727132975868664
MED20,2.17175069812207,0.354079483619547,0.727132975868664
ZNF184,-1.67073740679018,0.354400305111157,0.727686986844975
TRIM69,1.01469934250275,0.354464086716174,0.727713136553251
NAIP,-1.00607551446877,0.354694299665015,0.728024755924524
TUBD1,1.13863386685439,0.354718010287019,0.728024755924524
TOMM20P2,3.10033043230633,0.354776505592397,0.728039997657293
TCF25,-0.392746692155354,0.355043664690427,0.728483374183468
TMEM238,-0.930975397255934,0.355113445542038,0.7285216980353
TOMM40L,-1.64045877972179,0.355581721755001,0.729377413717884
LUZP1,-0.720329482915394,0.355708106611095,0.729443394817235
AC245014.3,1.86105114608809,0.355721405844364,0.729443394817235
C19orf48,-1.72618816349831,0.355767390864494,0.729443394817235
MARCH8,1.17570791933812,0.356118081079186,0.730013326942293
ZNF85,-1.71862801114202,0.356147775595093,0.730013326942293
HIST1H2BD,-7.1881855753078,0.356219201125511,0.730054762973733
TMSB4XP6,-0.741549775914172,0.356291115879482,0.730097189590038
ABR,0.966586827863648,0.356406489781687,0.730228645922352
AL590399.1,6.70332146276324,0.35661728845429,0.730555047012087
JUP,-4.55375153879274,0.356668288945295,0.730555047012087
AC109460.2,-2.3547145567821,0.356802080689861,0.730580876077625
AC006445.2,10.6737327590666,0.356827489552984,0.730580876077625
CACNA1C-AS2,-2.25456721021654,0.356863392714107,0.730580876077625
CENPK,-2.2000033701965,0.356885888117605,0.730580876077625
GTF2IP13,-1.87529443415067,0.356980773393635,0.730670194615887
RPS3AP43,-2.08845579233402,0.357174046414072,0.73089204255936
PSMG3,-2.22379353504155,0.357211319869141,0.73089204255936
OBI1,-1.03663596527593,0.357242968052302,0.73089204255936
SUN1,-0.857336155515107,0.357374947069948,0.731057145276105
AC013470.3,-2.5867447310308,0.357728691764894,0.731675786198038
ERC1,-0.952906894508703,0.357852606064272,0.731824236415472
HABP4,2.66908578000335,0.357912768843772,0.731842288100519
AC107890.1,-2.2803252618071,0.357969333468824,0.731852978335229
ZNF672,-1.3762240127441,0.358056296185852,0.731925804190638
AC114495.1,-0.93336459799069,0.358197550350311,0.731985299772728
RAC1,-1.17829870358563,0.358225783041407,0.731985299772728
NAPRT,2.92766174455586,0.358239438588266,0.731985299772728
AL603825.1,-3.51256787097019,0.358447482918195,0.732065496797215
EIF3B,0.779010360839539,0.358458407211796,0.732065496797215
PLCG1,-1.03290191581763,0.358476988792766,0.732065496797215
SNAPC5,2.57709891669194,0.358484093233822,0.732065496797215
TOGARAM1,-0.898535367871825,0.358576613770927,0.732101481214224
TUBG1,-1.43059730768031,0.358604422230564,0.732101481214224
NRF1,1.18490751089353,0.358668901549768,0.732128273266537
SEL1L,0.945471174669949,0.358730208299383,0.732148582607874
AC109454.1,-1.34956476512954,0.358923608823784,0.732342491950813
AC114947.2,-2.12431877278592,0.358927959544075,0.732342491950813
RPL7P59,-0.844386963942004,0.359017085113312,0.732371462411569
TXNDC17,-1.45860179658709,0.359078344522175,0.732371462411569
SMARCA2,2.06607780910347,0.359096276813753,0.732371462411569
RHBDD3,-1.55926643940896,0.359205090223012,0.732383360426033
NIFKP4,-1.50464830633465,0.359214166553723,0.732383360426033
BAK1,1.25276638216796,0.359256231724134,0.732383360426033
AL022324.2,-2.45458564596976,0.359318207709499,0.732396487167209
PCGF1,-1.1980089407888,0.359403983255455,0.732396487167209
FBXO7,-0.676357389162493,0.359435260857179,0.732396487167209
IFNGR2,-1.70683795563495,0.35946816924165,0.732396487167209
RPS29P31,2.52724609227285,0.359664525645081,0.732468805198919
NOL3,-2.50742034592855,0.359684319639416,0.732468805198919
AC010409.1,-2.33910010431853,0.359862574640381,0.732468805198919
CDC37L1-DT,-2.24106541466018,0.359954359266666,0.732468805198919
MACF1,0.707956693797531,0.359972218372859,0.732468805198919
RBBP7,-1.2489902214994,0.360049923123305,0.732468805198919
GALNT6,4.38886250137706,0.360050027223688,0.732468805198919
PDK1,-1.18897283992328,0.360073237984342,0.732468805198919
COTL1,1.0736869180149,0.360110132206184,0.732468805198919
AL109811.2,2.07145108523798,0.360202339852673,0.732468805198919
PPIAP75,-2.33724810302508,0.360219609477471,0.732468805198919
WDR90,-3.37392228547324,0.360222064470923,0.732468805198919
GEMIN2,-2.28998166835462,0.360267477801879,0.732468805198919
RPL23AP44,1.27125278846387,0.360319965761083,0.732468805198919
TSTD1,-0.516400997318609,0.360339074203644,0.732468805198919
PCBP4,2.57167099078715,0.36037609622413,0.732468805198919
CD55,1.51089371327083,0.360377118382801,0.732468805198919
FKBPL,-1.9373958715071,0.360559433673199,0.732584410570086
RSRC2,-0.660362566472465,0.36057948437749,0.732584410570086
SCAND2P,1.06368509345685,0.360613434773141,0.732584410570086
B4GALT3,1.32179323615203,0.3606788348228,0.732584410570086
MBD6,-0.840823902087726,0.360737549485808,0.732584410570086
MRGBP,-1.22053371844115,0.360807247851405,0.732584410570086
ZNF321P,2.6516714241655,0.360820161813072,0.732584410570086
UBE2L6,-0.433374399051376,0.360845098977494,0.732584410570086
METAP1D,-6.46203126977443,0.360918409650078,0.732628911856973
ZNF841,-10.5979850556652,0.361021444439471,0.732731045547849
SLC35E2A,1.73220243558346,0.361071520410609,0.732731045547849
TNFRSF10B,1.42207162488,0.361144284151112,0.732774397218652
SEPTIN7P6,0.839329610147926,0.361276897978115,0.732867763241571
AC127024.8,1.88811453146912,0.36136006915741,0.732867763241571
AL683813.1,-1.6289506099921,0.361361880931599,0.732867763241571
SMARCE1P2,-1.35683637277777,0.361395929825214,0.732867763241571
RPS17,-2.22858384248739,0.361563600173637,0.7330680469117
C4orf3,-0.930023524706455,0.361597538291461,0.7330680469117
VPS13A,0.615123940686618,0.361651046774642,0.733072276812071
LINC02245,-3.15670043987739,0.361780523197377,0.733211073732999
AARS2,-0.895502554215058,0.36183037982379,0.733211073732999
KLHL20,0.877123056766459,0.361873815571365,0.733211073732999
CEP192,0.955676092501861,0.362017894795506,0.733229090151722
RSL1D1,0.44732723189295,0.36201962827979,0.733229090151722
RALGAPA2,0.863919086191929,0.362043021200333,0.733229090151722
AC017007.3,-3.5048425064687,0.362121678077254,0.733229090151722
TTC39C,-2.38791590562174,0.362161358809209,0.733229090151722
CERS4,3.75257383609782,0.362191305615069,0.733229090151722
GNAI3,-0.717303697949806,0.362392547162586,0.733532323207415
ATAD3A,1.23270717913106,0.362474972193228,0.733595003348475
ECPAS,0.872927098125977,0.362672231365623,0.733742970101775
CAPZB,0.953060824468503,0.36280466814127,0.733742970101775
RPS2P44,-1.61865655367802,0.362825082889416,0.733742970101775
ZNF674,-1.61145959558868,0.362833678771706,0.733742970101775
TMEM97,-1.50634812109877,0.362849255727423,0.733742970101775
NDUFA2,-1.09850349897483,0.36285689809326,0.733742970101775
DNAJC1,-2.01551870594037,0.363219350376153,0.734279594987607
FIP1L1,-0.735770975767506,0.363225287868449,0.734279594987607
DDC,-1.82146342702132,0.363461160978209,0.734652248816864
AC099063.4,9.37484791353558,0.363711860958337,0.734826517023371
GBA,-1.22149667302762,0.363805760680331,0.734826517023371
CCZ1B,-1.09915264118063,0.363829677797887,0.734826517023371
CCDC144B,0.761588056858615,0.363841265219835,0.734826517023371
MRPL58,-1.00365822969005,0.363888393079612,0.734826517023371
NDUFAF3,-1.1944975454338,0.364039713454842,0.734826517023371
SURF4,-1.13468164289997,0.364116691192552,0.734826517023371
AL645728.1,2.41008313939592,0.364153065208515,0.734826517023371
ZC3H13,-0.380527881138771,0.364214761919873,0.734826517023371
OGT,0.330573805767594,0.364237218395102,0.734826517023371
PHBP19,-2.31796861000315,0.364262582535476,0.734826517023371
MRPS35,0.888959824145724,0.364368189943893,0.734826517023371
C6orf89,-0.723242351075474,0.364416891455629,0.734826517023371
CCNG2,2.09162223240369,0.364418274441998,0.734826517023371
HYKK,-2.79414644540047,0.364427497429776,0.734826517023371
AC004386.1,-0.889133220615406,0.36444363335091,0.734826517023371
IRS3P,-2.93521605831977,0.364515158812051,0.734826517023371
FAM72C,-3.07069900508809,0.364536180424022,0.734826517023371
DOCK5,-2.45323113237763,0.364555051079443,0.734826517023371
UPF2,-0.712454446075685,0.364621396037036,0.734826517023371
C1orf131,-0.87203591635278,0.364629824735082,0.734826517023371
SENP5,-1.66954748628503,0.364983134922129,0.735434568402808
PNMA1,-0.897341627018826,0.365104789244652,0.735575731412064
NDUFV2P1,-1.33080100491814,0.365412795560976,0.736092244385655
CST7,1.52186515090436,0.365517608518229,0.736199047223975
ZFHX2-AS1,-0.977869838330302,0.365595804834418,0.736199047223975
SF3B5,-0.48171266358058,0.3656207389412,0.736199047223975
GRPEL1,-1.67811673889081,0.365771558132652,0.736306705652145
PURB,0.545643819035922,0.365777503467206,0.736306705652145
NAPG,-1.43514168543225,0.365872845346975,0.736394646797469
ZBTB49,1.86935803034662,0.365948037326937,0.736442013005762
RN7SL587P,1.76198638274397,0.366055885366763,0.73653237346974
LINC00667,-0.727053128858336,0.366096268126163,0.73653237346974
ANKEF1,2.71100579881411,0.366382784316775,0.737004793737821
RELB,2.89559409291898,0.366601467713703,0.737340649509954
EEF1GP3,2.61588772081047,0.366932246453537,0.737901834594671
CEP19,1.45890497653262,0.3670869620957,0.738105799246374
PLEKHM1P1,-0.818798007169311,0.367137220991585,0.738105799246374
UBIAD1,-0.935854152897761,0.367302779829844,0.738334521891463
CDCA3,-2.04471493166831,0.367452480259368,0.738395105743014
RAB33A,1.54242113696276,0.367523254440679,0.738395105743014
TRIM16L,2.27316592871498,0.367534805748955,0.738395105743014
AC025449.1,-2.74968184998434,0.367596218480536,0.738395105743014
RNF11,1.82836220055029,0.367635982131175,0.738395105743014
WDR77,-1.05323041097651,0.367643691116997,0.738395105743014
RNF34,0.742770200291112,0.367779439082661,0.738563696797072
GSR,-1.68230246626619,0.36785765975531,0.738616732038268
HIST2H4B,1.30951582108609,0.367937975326092,0.738673958069113
HSD17B11,1.0509799146354,0.36815400395611,0.739003587777851
RNF141,-1.379176069835,0.368462563412162,0.739518837674755
TMEM50A,1.5106144032846,0.36876172321845,0.740015079701889
FBXO38,-8.81239644370976,0.368822407056316,0.740032686135798
CENPCP1,1.89985564557211,0.368972685882117,0.740230032357932
GTPBP10,-1.02288474191167,0.369086161787096,0.740343605016749
ATAD5,-2.39017031176429,0.369133161087195,0.740343605016749
ANXA2R,0.887508404225876,0.369391791535052,0.740690818532372
CROCC,-1.21780354662999,0.369410193586221,0.740690818532372
SYNGR1,2.26711257701986,0.369604453092308,0.740976105088447
CSDE1,-0.666813474524087,0.369908373201259,0.741459654051443
SHLD2P1,1.74826261019437,0.369949671665819,0.741459654051443
RPSAP61,-0.824022916892153,0.370009598616259,0.741475518396597
MDS2,9.6965903710609,0.370076465396284,0.741505283301395
CDC25B,0.939899912658136,0.370194957954012,0.741543587705317
ZNF18,-2.22411511555693,0.370199615158441,0.741543587705317
ALS2,-1.22682916895831,0.370308200172413,0.741619415905087
ARMT1,1.50293318945665,0.370341513876846,0.741619415905087
CYB5R4,-4.26756076134378,0.370472976834267,0.741778477211983
TATDN1,-1.59370739258913,0.370936055129898,0.742438426804113
RASSF1,0.777883608083321,0.370982753847572,0.742438426804113
AC008443.5,-1.83552773195737,0.371033136880849,0.742438426804113
HAUS2,-1.03905205972694,0.371041560765998,0.742438426804113
ZNF354A,-1.41073847043693,0.371068212385847,0.742438426804113
NT5DC1,1.1255747587278,0.371115055373605,0.742438426804113
LY9,0.437322813806123,0.371298016749904,0.742495321926485
ARRDC1,-0.81760464399013,0.37133363619996,0.742495321926485
WASH6P,0.790822945693103,0.371340879478711,0.742495321926485
AC009948.1,-1.43521606420255,0.371425374931097,0.742495321926485
SH3PXD2A,-1.41285012247486,0.371460724552992,0.742495321926485
SNX25,1.52966295437843,0.371489102398674,0.742495321926485
TSHR,-1.93525248627891,0.371508075989171,0.742495321926485
ARID4A,0.506309175233818,0.371631695214813,0.742638274037338
GNPNAT1,-1.27887313739338,0.371754178175801,0.742753796940443
ANKRD20A9P,-1.62376062005253,0.371793707559414,0.742753796940443
MIS18A,-2.46887350688236,0.371960676946358,0.74291432308558
FBXO31,1.26891013979113,0.371978285506795,0.74291432308558
PPP3CC,0.807113925603398,0.37205958801421,0.742972613353492
ITGB1BP1,0.633462498143361,0.372343783783568,0.743435991823326
AC003102.1,-1.15037376253874,0.372507606830987,0.743464335820941
SMPD1,-0.83688917454842,0.372523756468628,0.743464335820941
PHKG1,1.00280133928273,0.372572174267298,0.743464335820941
CARF,3.90841292032922,0.372650055404693,0.743464335820941
AP001107.9,-6.81057246555432,0.372682909678043,0.743464335820941
IRAK2,1.34976599227244,0.372708684445203,0.743464335820941
CD79A,-7.10491483783675,0.372723036483745,0.743464335820941
TPP2,0.584668587178945,0.372786269809669,0.74348643850121
RBM43,1.1861815129086,0.372870653526516,0.743550711522453
SIN3A,-0.648274370756671,0.372932280429816,0.743560520633218
PDIA3,0.89970034745033,0.37301990661072,0.743560520633218
SPINK2,-2.3858355602681,0.373052381965555,0.743560520633218
DOLPP1,-1.5315519112046,0.373084203429392,0.743560520633218
LINC00662,0.681443185477331,0.373194405231411,0.743647307727377
CACNA1C-AS1,-2.3849378370032,0.373236460927933,0.743647307727377
CSNK1E,-1.29699301820338,0.373284240607261,0.743647307727377
ZNF69,-2.45284908559661,0.373494723783855,0.743962663443151
TRMT2A,-1.19780663292371,0.37389696396032,0.744631735077128
IFIT3,-6.34853422106396,0.373965647241615,0.744631735077128
ZNF462,-12.0220615707752,0.37401957944631,0.744631735077128
SEPTIN11,-0.764955042495392,0.374078233600685,0.744631735077128
AC105399.1,-0.652701907411074,0.374091784976318,0.744631735077128
DYNC1H1,-0.383477282730645,0.374599490712484,0.745538229735748
WDR54,-0.982341025294097,0.374724150318452,0.745682228774407
AC092070.2,1.72498541114958,0.374846750524338,0.745701122290365
MED16,-3.80588824401751,0.374871693599157,0.745701122290365
MITD1,-0.556102624208802,0.374914599321365,0.745701122290365
C1orf35,-1.92045789510968,0.374942876303124,0.745701122290365
PRR7,-3.77411017508624,0.375088972358172,0.745849504668647
MAST3,0.903659746594828,0.375142496463733,0.745849504668647
PLCD1,1.4313869950104,0.375178760754569,0.745849504668647
VPS29,-0.539394949552549,0.375251636751177,0.745849504668647
PFKL,-0.910698107675274,0.375279075265727,0.745849504668647
AC108471.1,-1.88952663637035,0.375423016482973,0.746031575547987
NBPF15,0.845408392605627,0.375499837239441,0.746080234102506
ZSCAN29,1.80860251548946,0.375660842156522,0.746296121207271
LRRC37A4P,-0.768842700978696,0.375791360670384,0.746427050219974
KLF9,3.49307309910826,0.375831465100938,0.746427050219974
WASHC3,-0.722184822992984,0.375920280785258,0.746483217493
TAF8,-0.773777228595592,0.37597849776615,0.746483217493
MRPS30,-0.810816455268032,0.37601923422733,0.746483217493
TRIM8,-2.03092489427622,0.376082730561241,0.746483217493
HACD2,-2.67349354667585,0.376161835693716,0.746483217493
SLX1A,0.996539201144425,0.37625837222343,0.746483217493
SLC35B4,1.3295271580642,0.37627560318741,0.746483217493
DLG3,2.17563261776429,0.376278647650442,0.746483217493
FKBP15,0.841398669251135,0.376416885877408,0.746653558517925
AC146944.4,-1.35619048547403,0.376804107041873,0.747242104558043
MAPK11,-2.36754788737554,0.37682443406664,0.747242104558043
AC008507.1,-2.25852059836721,0.376870842576622,0.747242104558043
FAM210B,-3.76204033592409,0.376965498546317,0.747303902756062
ZNF429,-0.93794207443164,0.377006851053703,0.747303902756062
TOPBP1,-1.1890087512979,0.377336169238203,0.747852694099795
NUP35,1.40411543389329,0.377586547770229,0.74808395788038
HBP1,-0.783827255598967,0.3776125937638,0.74808395788038
HDAC5,-0.965249726681609,0.377672012421408,0.74808395788038
ARSA,-0.857705729521107,0.377716766819128,0.74808395788038
HAUS8,-4.07593954351909,0.377727417924398,0.74808395788038
CEP104,-0.772461151265311,0.377800351239419,0.74808395788038
AC125807.1,-0.66397083605828,0.377820180747667,0.74808395788038
GTF3A,-0.817625371291616,0.377876504692971,0.748091577684071
AKR1B1P2,2.42527568013245,0.378186306114438,0.748600941400642
NCOA1,0.584774494183834,0.378343089616748,0.748807314393496
RPL31P61,-0.699168281453304,0.378488238399832,0.748990606139367
KIF19,2.6697671281485,0.378795420095319,0.749494449532111
AP4B1,-0.765911994840236,0.378899198770042,0.749591516548282
CYP4V2,-1.28043531926755,0.379020650610737,0.749591516548282
COMMD2,-1.36273433917789,0.379034949771739,0.749591516548282
NDUFA5,-0.619559330209137,0.379095266456347,0.749591516548282
MAP3K14,1.34429560018339,0.379121834300947,0.749591516548282
ZNF490,1.60004506684132,0.379159962530139,0.749591516548282
AC016957.2,17.4441572934225,0.379347082636423,0.749857461184809
PLAAT4,2.73807648075122,0.37971824864384,0.750305165195187
ARFGAP2,-0.942513203772699,0.379727651326189,0.750305165195187
AL034417.1,-5.85420498970096,0.379788604085868,0.750305165195187
RUSC1,2.15166002312881,0.379852731910959,0.750305165195187
RTN4,1.52918871993638,0.379914851650249,0.750305165195187
HMGB1P37,-1.47069030521304,0.379956075458531,0.750305165195187
CLK2,-0.773305370520456,0.380020962267999,0.750305165195187
DCK,-1.36498474146302,0.380137453848016,0.750305165195187
HSPA13,1.4800871949133,0.380150081311227,0.750305165195187
Metazoa_SRP_ENSG00000277233.1,-2.49719772584378,0.380175085304171,0.750305165195187
TRABD,-0.595241197154638,0.38021398875418,0.750305165195187
ILK,1.09144162299299,0.380251769952418,0.750305165195187
EEF1AKNMT,1.0719293752961,0.380257773466276,0.750305165195187
HSPA1B,1.82035062013224,0.380341874356279,0.750367251705386
NHEJ1,-1.66995027593081,0.380416759440337,0.750411141909706
PCP2,-2.14647583553281,0.380723561966754,0.750822529355718
ASPH,-1.59388863253966,0.380730644269956,0.750822529355718
UBE2F,1.17448109345343,0.380859784708799,0.750867102190129
TRIM65,1.70476813285366,0.380876745980091,0.750867102190129
RPP25L,3.77436057734298,0.380933165291457,0.750867102190129
AC091959.1,-1.01259363618877,0.380963927479041,0.750867102190129
AC087343.1,-0.420179257283083,0.381200279713849,0.75089110578825
AC093700.1,0.632835919980756,0.381313140992381,0.75089110578825
ZNF142,-1.80580889504712,0.381317699622547,0.75089110578825
RPSAP9,-0.371582034853767,0.381354896205574,0.75089110578825
YWHAEP7,-2.1436760825814,0.381369719978781,0.75089110578825
HSD17B12,-0.74396926366931,0.381402622947122,0.75089110578825
CDPF1,-1.61002968961429,0.381404430578802,0.75089110578825
DHX32,1.89338859277608,0.381520066943912,0.75089110578825
WDR5B,-1.3090926120321,0.381530861187771,0.75089110578825
STAMBPL1,1.69640088208762,0.38154016253422,0.75089110578825
ZNF443,-1.85957702748616,0.38155549735761,0.75089110578825
MRPL50P2,-1.98543708310487,0.381707489110008,0.751086537577954
ZNF767P,-1.20415487768612,0.381838924509998,0.751133021857274
KMT5AP1,-2.14150310889486,0.381864543630069,0.751133021857274
FAM157A,1.93781320534243,0.381897435929603,0.751133021857274
CD226,1.94395794411421,0.381995721135453,0.751133021857274
CATSPERG,-2.57058187204884,0.382064709515234,0.751133021857274
AP5Z1,-1.96988256586589,0.382077982027824,0.751133021857274
ACSF3,0.489714764808221,0.382099935080594,0.751133021857274
ZNF471,-2.28866713912115,0.382211149292757,0.751248055193375
SNRK,0.600181563890303,0.382281010067662,0.751281786534958
FAM227B,-2.2330750780586,0.382409731691275,0.751431169536984
COQ5,-3.34893192223995,0.382684075361256,0.751764539893544
NPIPB8,-2.54802323183291,0.382684853115001,0.751764539893544
TIMM9,-1.03762935414283,0.382740343190633,0.751769954880913
R3HCC1L,1.03439100858159,0.382814744202669,0.751812507694345
SPRY2,-1.75282870411644,0.383099317205466,0.752160615463506
FRYL,0.540055080819843,0.383148527329209,0.752160615463506
FCF1,-0.861851252534495,0.3831502798468,0.752160615463506
AL031733.1,9.33494145621121,0.383249613775425,0.752252030012731
AC087477.1,1.56180595835965,0.383470162206963,0.752581309529524
SAR1B,2.03514851823566,0.383595191450795,0.752723062535792
TADA1,-1.35088358728695,0.38369314934369,0.752729740458602
ZNF655,1.35350713812983,0.383704196402403,0.752729740458602
ZNF37A,2.29490392799843,0.383761049904677,0.752737689521337
GNG2,1.02650200657545,0.384138435981607,0.753199147243035
FANCF,1.90314320237525,0.384146483943701,0.753199147243035
STAG3L4,3.66784648049292,0.384154811981209,0.753199147243035
USP22,-2.33322658557904,0.384229643877718,0.753242272156319
PUSL1,-1.79425135395643,0.384414569666254,0.753501183165422
SGF29,-2.2898053126088,0.384532544182122,0.753628808064384
TBC1D14,-0.869861224964741,0.384616297082187,0.753689337622496
JRKL,1.32794131595669,0.384674045171378,0.753698898840457
AP000354.1,-0.797071087354583,0.384773860137604,0.753790868506483
LINC02482,1.96193719959767,0.38487535817389,0.75380585713184
PITPNA,0.887214403002309,0.384920217893948,0.75380585713184
ALG10B,-1.33517282661775,0.384946035033943,0.75380585713184
ZNF837,-2.00552452374507,0.384993016679078,0.75380585713184
PSME4,-1.28350538772196,0.385051671584732,0.753817169748962
AMOT,-1.97052840486469,0.38535158038291,0.754277658306932
FAM120C,-1.50794847782913,0.385392709252784,0.754277658306932
MAN1B1,-2.1489563140368,0.385576081557457,0.754419858817563
SEC24D,1.02196421560225,0.385585249282881,0.754419858817563
ZNF576,-1.63611847038219,0.38565375289798,0.754419858817563
ATG101,-2.07719728634054,0.385677043424691,0.754419858817563
UTRN,0.611732671256043,0.385818074686005,0.754592189974439
AC007448.4,6.99961711290292,0.385927867392324,0.754703385122766
TTN-AS1,-0.779826506024395,0.386058546773104,0.754768611971912
SLC39A13,-1.06978110088115,0.38612835131375,0.754768611971912
MAN2C1,3.94092039676706,0.386133535613426,0.754768611971912
ZNF593,4.64832223461668,0.38617299773591,0.754768611971912
BCAT2,-2.19584596346565,0.386274545336276,0.754863594011508
AC046185.3,0.720987582687695,0.386388382684585,0.754885480188244
NOL10,-2.14258656128097,0.386391649055388,0.754885480188244
OCLN,-1.86571355966046,0.386480414535859,0.754955438424664
C5orf22,-1.14561286909831,0.386586435070712,0.755059079102353
AC006927.1,2.27276909812886,0.38673376581771,0.755085250937825
SNORD3A,1.48605504450306,0.386745695258056,0.755085250937825
ELP3,-2.07169845597089,0.386773764474519,0.755085250937825
CD300A,1.82256138582836,0.386811699466816,0.755085250937825
MALSU1,-1.51309127687762,0.387039731129349,0.755426945095837
NPIPB11,0.962705083634371,0.387144559202333,0.755528108964882
NUP107,0.909369591813259,0.38738281321227,0.755802393771522
ASL,1.83334104338368,0.387410780186484,0.755802393771522
CARHSP1,-1.2315631795889,0.387544468373169,0.755802393771522
RPS27L,0.626276834872151,0.387550349308868,0.755802393771522
FAM24B,1.60171695805392,0.387588998437877,0.755802393771522
SNX5,-1.63534584500968,0.387603205728367,0.755802393771522
STXBP5,-0.885442382394481,0.387830021790447,0.756053732607915
IGHM,-2.46776343192542,0.387838169652195,0.756053732607915
FLI1,0.509504275290082,0.38795669591588,0.756181385968933
VTI1B,-0.630678532524172,0.38828224154045,0.756694493544255
FANCA,-2.0421398856309,0.38844947633742,0.756694493544255
PDCD5P2,-1.00600654096871,0.388478699897567,0.756694493544255
TIGD1,-2.37033385769076,0.388506467556925,0.756694493544255
AC093663.2,-2.04480361903831,0.388554729196212,0.756694493544255
DIAPH3,-1.77882284508474,0.38857421507364,0.756694493544255
AC009120.2,-0.940901122638208,0.388591497421261,0.756694493544255
TRRAP,-1.06418144940812,0.388705721403212,0.756720492954792
