,logFC,p.value,FDR
FRG1DP,-0.000403727049565971,0.61900439597811,0.999960952824732
SMCR8,0.000861322904016732,0.619055689174004,0.999960952824732
PIAS3,-0.00170474114515836,0.619087121702542,0.999960952824732
OSTCP4,-0.00197228441849203,0.619244921830544,0.999960952824732
FAM43A,0.00229891738813273,0.619277837326269,0.999960952824732
EPDR1,-0.00320773925150109,0.619420039209621,0.999960952824732
PGRMC1,0.00251067481505432,0.619655699893447,0.999960952824732
PML,0.00166512308704503,0.619659605819722,0.999960952824732
YLPM1,-0.00307663132607522,0.619715012564446,0.999960952824732
MAN1C1,-0.00152097001693892,0.61975801909451,0.999960952824732
FBXL18,0.000750784187309214,0.619796728620734,0.999960952824732
RPL26P35,-0.0120434892041373,0.620002694617334,0.999960952824732
FAM120A,0.0047939225742236,0.620003188917195,0.999960952824732
ZNF749,2.46726858124752e-05,0.620044464416839,0.999960952824732
GALNT3,0.000710312050622169,0.620094875201543,0.999960952824732
STK24,-0.000168289266445003,0.620279297682293,0.999960952824732
STAG3L3,-0.00661440321157412,0.620482406364999,0.999960952824732
BORA,-0.000841048760205813,0.620647990108686,0.999960952824732
DENR,0.00121124185081467,0.620740239982707,0.999960952824732
ERMAP,0.000662293342191552,0.620748959696959,0.999960952824732
CCDC47,-0.00183933601162718,0.620870288199821,0.999960952824732
MRPS35,0.00293911311993674,0.621075228464615,0.999960952824732
CASP4,0.00668254781808099,0.621123166704153,0.999960952824732
LMBRD1,-0.00159006623196607,0.621255532098976,0.999960952824732
PTK2B,-0.00471125852630217,0.621408211599242,0.999960952824732
SNRPD2P1,-0.000999225562965704,0.621414754777694,0.999960952824732
GMCL1,0.000500875865235464,0.621493366057201,0.999960952824732
TIMM10B,8.89781785335496e-05,0.621506673966488,0.999960952824732
AL590004.2,-0.000577408549038387,0.62160310427319,0.999960952824732
KPNA2,-0.00229461687537125,0.621622533319993,0.999960952824732
AC009948.4,0.00226504470489673,0.621713999592083,0.999960952824732
DFFB,0.00234984869173844,0.621719247540358,0.999960952824732
TOMM20P4,0.00148378978306121,0.621737695975894,0.999960952824732
PHOSPHO2,-0.000353923613285969,0.621840308443322,0.999960952824732
MMAA,-0.00203514376395624,0.621868846675769,0.999960952824732
DNAJC16,-0.000435061123500713,0.621973035751238,0.999960952824732
BRD7P2,-0.00823719610314166,0.622175004525772,0.999960952824732
BTF3P9,-0.00863132489400338,0.622191485859641,0.999960952824732
AC008725.1,0.00329320987447509,0.622250100505432,0.999960952824732
C6orf89,-0.00276310373261914,0.622298614367028,0.999960952824732
RPL15P21,-0.000370446629023388,0.62238839073959,0.999960952824732
CCS,0.000390868168400687,0.622672412899171,0.999960952824732
THG1L,0.00126418155226517,0.622771824787216,0.999960952824732
SLC25A14,-0.00148292959583718,0.622965194824048,0.999960952824732
PSMC6,-0.000551906864235321,0.622992270564773,0.999960952824732
HSPE1P7,-0.000421797551842119,0.623269029700153,0.999960952824732
GTDC1,-0.000775761475472758,0.623332463205222,0.999960952824732
MRPL15,0.00174922327988499,0.623349975776787,0.999960952824732
RBM48,-0.00233532885574618,0.623404403363863,0.999960952824732
TSNARE1,0.00235814287573288,0.623510667915047,0.999960952824732
LINC01002,0.00141325225686258,0.623519133783764,0.999960952824732
RYBP,-0.00566631754695387,0.623543727316237,0.999960952824732
SKA2,-0.00405812363394549,0.623812168966886,0.999960952824732
SYS1,4.17809871206548e-05,0.624321444631796,0.999960952824732
UBAP1L,-0.000384730670256728,0.624384194839607,0.999960952824732
MKLN1,-0.00675356383280111,0.624406691449071,0.999960952824732
BLZF2P,0.000978254929064113,0.624504863756116,0.999960952824732
NME4,-0.00169994174288431,0.624566452528062,0.999960952824732
NLRP1,0.0113481449625396,0.624610520832553,0.999960952824732
AC108519.1,0.000907551295491373,0.624641891179262,0.999960952824732
ALG12,-0.00163522742812988,0.62471291610833,0.999960952824732
FAM156B,0.000230871578679288,0.624733056531627,0.999960952824732
MAPK7,-0.000112202774598918,0.624776942896401,0.999960952824732
PA2G4P2,0.000362381106744949,0.624860867401362,0.999960952824732
DPCD,-0.0008646464311529,0.624898346133848,0.999960952824732
MAP3K7CL,0.000513703088232103,0.624928941183305,0.999960952824732
AC104390.1,-0.00109924358857909,0.625187288030529,0.999960952824732
TAPBPL,-0.00154984945735835,0.625268641315141,0.999960952824732
MRPL39,-0.00595611812525642,0.625285613888464,0.999960952824732
DYNLT3,0.00155709273824277,0.625374907850894,0.999960952824732
KIAA1324,0.00109176756663351,0.625460665533956,0.999960952824732
AL590762.1,-0.000809892218599301,0.625484677281879,0.999960952824732
ZNF267,0.00176212094370472,0.625555076456779,0.999960952824732
PDE7A,-0.0153541890744512,0.625566290684933,0.999960952824732
GPR68,0.00719825378778032,0.62567725208962,0.999960952824732
RPL21P75,-0.0137336405436756,0.625729885527602,0.999960952824732
LCLAT1,-0.00381147069738812,0.625905867077807,0.999960952824732
EIF3LP1,-0.000624906933837044,0.625994450960349,0.999960952824732
AC009090.1,-0.000253899063529877,0.625996146924632,0.999960952824732
EBLN2,-0.000389665072028944,0.626150747674189,0.999960952824732
MAGOH3P,-3.56891882463165e-05,0.626181849201182,0.999960952824732
SLC35D2,0.00367245227197807,0.626422502095703,0.999960952824732
C12orf4,-0.000684806766678013,0.626488091165522,0.999960952824732
ALMS1,0.00014524372922175,0.626840047312522,0.999960952824732
TRMT12,0.00118229684239038,0.626873921139192,0.999960952824732
RPL12P39,-0.00158450863237064,0.627083002866988,0.999960952824732
WDR73,-0.00102855575460036,0.627151603962518,0.999960952824732
ZDHHC12,-0.00110109789970469,0.627165198878106,0.999960952824732
FAM241A,0.000231786655386325,0.627407137634815,0.999960952824732
NRAS,0.000560140818489877,0.627472471598115,0.999960952824732
PCBD1,1.71240924549696e-05,0.627485967677538,0.999960952824732
ZC4H2,-0.000576611267179041,0.627680194109352,0.999960952824732
ZNF439,-0.00420260654201418,0.627946619215979,0.999960952824732
GNB5,0.000416986417774374,0.627966040929526,0.999960952824732
KRBA2,-0.000636848592009533,0.628076623045457,0.999960952824732
DR1,-0.00225649754738141,0.628087074937583,0.999960952824732
PRELID1,0.00983976933597195,0.628244746540036,0.999960952824732
ADGRG5,0.00251128095469496,0.628259591870504,0.999960952824732
NRM,-0.00135522970469955,0.628359036514932,0.999960952824732
GAS6-AS1,-0.000875234385032603,0.628421119606307,0.999960952824732
CHCHD4,-0.00273394868679368,0.628524628614823,0.999960952824732
GLCCI1,0.00656871226213494,0.628574782883794,0.999960952824732
DCAF4,0.000260822669177672,0.6285819362135,0.999960952824732
IMPA1,0.00170919374799451,0.628614313613143,0.999960952824732
ANKZF1,-0.00173095413728003,0.628632798873612,0.999960952824732
ORMDL2,0.000860215182830422,0.628895247286603,0.999960952824732
RAI1,-0.00554279671704671,0.62901846886929,0.999960952824732
LDB1,-0.00164100446679608,0.629211979200227,0.999960952824732
CDC37,-0.00833224083386631,0.629369357387173,0.999960952824732
ETS2,-0.00081052966542696,0.629480693967629,0.999960952824732
SLC9A7,0.000115076189268337,0.629562543019521,0.999960952824732
PEX16,0.00288722143437175,0.629592379900895,0.999960952824732
AC108047.1,0.000105510428422902,0.629626639040196,0.999960952824732
RAB5IF,0.000784570758549172,0.629644139360988,0.999960952824732
DERL1,0.0030230365292268,0.629650631260469,0.999960952824732
ZCCHC18,-0.000634014301864733,0.629660537834371,0.999960952824732
SMN2,-0.00208658556685352,0.629711826350636,0.999960952824732
AC108134.2,0.00272563881236335,0.629757274339225,0.999960952824732
AC243654.2,0.000139380627237457,0.629976556992821,0.999960952824732
NFKB2,0.00361965988902066,0.630188540685236,0.999960952824732
KLHDC3,-0.00260931035488587,0.630234050915199,0.999960952824732
RAP2A,0.00330128917680841,0.630292777181839,0.999960952824732
NOP56P3,0.00328933852899342,0.630361738390572,0.999960952824732
ERVK3-1,-0.00240491388566925,0.630505690367291,0.999960952824732
RIPOR1,-0.0031400961862416,0.630535497155731,0.999960952824732
TSR3,-0.000109499210945548,0.630562058337235,0.999960952824732
RPS4XP9,-0.000625004623332143,0.630653745177946,0.999960952824732
GDE1,0.000709802214944522,0.630668538870833,0.999960952824732
CCDC6,-0.00056237975458966,0.630953308375394,0.999960952824732
RFX7,0.00133548444799581,0.631027933629443,0.999960952824732
PSMD6-AS2,0.00189864679721494,0.631077434493523,0.999960952824732
AC066616.1,-0.00178919039021299,0.631134261512883,0.999960952824732
RPS29P8,-0.000649915214560742,0.631225421702305,0.999960952824732
N4BP2L2,0.00227849552908361,0.631325117527317,0.999960952824732
NAIP,-0.00204979866373145,0.631341538938551,0.999960952824732
SLC9A8,-0.00456784190453976,0.631501495006533,0.999960952824732
STAG3,-0.00322789513316906,0.631573991706088,0.999960952824732
TAF6,-0.00109335617429498,0.631594573936482,0.999960952824732
HSD17B7,-0.000333957710127045,0.631637247367359,0.999960952824732
TSEN54,0.00308037699020919,0.63172225229893,0.999960952824732
RPL10P12,-0.0106918241581765,0.631737386598688,0.999960952824732
MED13,-0.0034760949009946,0.632027014906147,0.999960952824732
SEMA7A,0.00419245874157552,0.632150290885192,0.999960952824732
GALNT1,-0.00526272377377386,0.632208480519706,0.999960952824732
BMPR2,-0.00160683701709473,0.632330229575513,0.999960952824732
TSG101,-0.00137444600720736,0.632388336607322,0.999960952824732
MTND6P3,-0.00337447426084134,0.632491537791452,0.999960952824732
AC009812.4,-3.06407877630139e-05,0.6325037570901,0.999960952824732
AL022324.2,-0.000209142583996108,0.632626460353729,0.999960952824732
TRIM39,0.00167069980972979,0.632637797008993,0.999960952824732
RPL5P30,0.000239641051733335,0.63267284281558,0.999960952824732
LMAN2L,0.000818064586440383,0.632882137794208,0.999960952824732
CHD2,-0.00196093037966327,0.633136305954811,0.999960952824732
AC011444.4,-0.00347326561006937,0.633189228625249,0.999960952824732
LXN,-0.000618019263934615,0.633290003604323,0.999960952824732
AL645608.3,-0.000348963175873031,0.633319416660153,0.999960952824732
AC027104.1,-0.000192495159064983,0.633450027687856,0.999960952824732
CATSPER2P1,0.00185406520540676,0.633624767060643,0.999960952824732
HSP90B2P,-0.00124418183131634,0.633708327689226,0.999960952824732
UTP25,0.000883571472059637,0.633710275834606,0.999960952824732
PAM,0.00392625425357202,0.633765690456838,0.999960952824732
FBXO33,0.00110198982399911,0.633861410432197,0.999960952824732
TRA2A,-0.0022025310204181,0.633865178058106,0.999960952824732
AL645933.2,-0.000251853110897236,0.634043911183747,0.999960952824732
MTHFD2L,-0.00354092068299478,0.6341874304457,0.999960952824732
CAV1,0.00109719683468254,0.634214471154924,0.999960952824732
GDPD1,7.68065554221884e-05,0.634233740428193,0.999960952824732
JUND,0.000898838616336674,0.634266216776221,0.999960952824732
TIPRL,-0.00708909907183265,0.634557200629951,0.999960952824732
ALS2,-0.000794084996928434,0.634597133488542,0.999960952824732
PIP5K1A,-0.0051716396003723,0.634651053957521,0.999960952824732
CEP112,1.10345333046244e-05,0.634704210040799,0.999960952824732
RUSC1,0.000856379378176984,0.634758407620731,0.999960952824732
DAG1,0.000341049525512008,0.634863304027255,0.999960952824732
SNRPGP9,-8.18902299271496e-05,0.634871415807189,0.999960952824732
PDCD2L,0.000375095133082416,0.634947783509803,0.999960952824732
MTX1P1,-0.00177709233759818,0.635062132195664,0.999960952824732
PPP1R13B,0.00177112954376261,0.635115226813215,0.999960952824732
AC124944.2,-0.00276301698769467,0.635163647068453,0.999960952824732
MTRES1,-0.00167520086183196,0.635264943985554,0.999960952824732
CNOT6LP1,-0.000864566999154871,0.635322702167873,0.999960952824732
TMEM238,-0.00220821922654646,0.635358135141924,0.999960952824732
R3HCC1,-0.000818422516146331,0.635418278310824,0.999960952824732
MTA1,-0.00232267047335512,0.635493266923024,0.999960952824732
ZNF652,0.00545836309603242,0.635762376860996,0.999960952824732
AL672212.1,-0.000401725971422095,0.635821821723932,0.999960952824732
RNU6-3P,-0.000922506496964408,0.63589333992456,0.999960952824732
BAZ1B,0.00298542049887534,0.636022186045679,0.999960952824732
AL354822.1,0.000169286666574349,0.636022923668388,0.999960952824732
CMAHP,-0.00265980699646422,0.636055916645824,0.999960952824732
CHML,-0.001506667105788,0.63617609722697,0.999960952824732
AC009148.1,0.000396852105869141,0.636204591802711,0.999960952824732
DBF4B,-0.00143537582099571,0.636317062628225,0.999960952824732
AL133477.1,-0.00326982171254703,0.636654361439732,0.999960952824732
C1orf131,-0.00132597194390957,0.636736021568491,0.999960952824732
SLC11A2,-0.00352926283206164,0.63674056063093,0.999960952824732
AC073073.1,1.66092969517319e-05,0.636833131430425,0.999960952824732
PRIM2,-0.0014462366548752,0.636908176287616,0.999960952824732
RAB7A,0.00117659497129436,0.636990295451032,0.999960952824732
KIAA1841,-0.000273907637062502,0.637022837031596,0.999960952824732
DEGS2,-0.00136805169216799,0.637097654239786,0.999960952824732
SRSF4,-0.00259392716206767,0.637110305757538,0.999960952824732
SLC38A1,0.007445980018182,0.637126072934542,0.999960952824732
AC074052.1,0.00539794748542739,0.637181374205651,0.999960952824732
POLD2,0.000308903650507372,0.637498560153656,0.999960952824732
DYNLL2,-0.00191470928330402,0.63751977510535,0.999960952824732
AL353622.1,-0.00140268173602699,0.637584712266617,0.999960952824732
AL021155.5,0.00239929227568972,0.637617157964278,0.999960952824732
FAM234A,-0.000393747361213283,0.637648278812008,0.999960952824732
HLA-DRA,0.00166258000920713,0.637703971424386,0.999960952824732
TM2D3,-0.00255031961757908,0.637842350383295,0.999960952824732
TEX2,0.00183973469528067,0.638027101002702,0.999960952824732
ANKRD13A,0.000318396138389071,0.638081216793655,0.999960952824732
RNASEH1-AS1,-0.002548933553196,0.638116413999022,0.999960952824732
PRKRIP1,-0.000869889573134034,0.638146251471397,0.999960952824732
AC020917.1,0.000415876701344848,0.638260427509478,0.999960952824732
EPAS1,-0.000950562566966296,0.638291707039622,0.999960952824732
MTND5P19,-0.000147892466298937,0.63830904153595,0.999960952824732
EEF1A1P12,-0.00480660370960911,0.638383967511081,0.999960952824732
HKDC1,-0.000705784748662291,0.63859258346555,0.999960952824732
CANX,0.00333403262406106,0.638639628881132,0.999960952824732
RNF6,0.00102350107089754,0.638729049214811,0.999960952824732
ZXDB,-0.00173819858520134,0.638762235085037,0.999960952824732
TRABD2A,0.000188374310324815,0.638794092101089,0.999960952824732
AMPD3,-0.00294204070221807,0.638875709317416,0.999960952824732
GRWD1,-0.00097926421667351,0.638903460223778,0.999960952824732
ZNF226,0.000944779385815027,0.639084931475525,0.999960952824732
DHX36,-0.00461256355656504,0.639113684631832,0.999960952824732
SNRNP48,-0.0031755885035227,0.639224037825678,0.999960952824732
C12orf66,0.00126797080458536,0.639312236941981,0.999960952824732
ABCF2,-0.00116697413962658,0.639543528531235,0.999960952824732
PSMA6,-0.000128811897034587,0.639547146000182,0.999960952824732
ADGRA3,-0.00157227616266321,0.639611625885581,0.999960952824732
ASH1L,-0.00710597388279337,0.639631451808833,0.999960952824732
KMT2D,-0.00243641241123378,0.639745350444936,0.999960952824732
ZFP14,-0.00239025762246501,0.639768112542398,0.999960952824732
PNMA8A,-0.000932574948267706,0.639783236646764,0.999960952824732
AMZ2P1,-0.000377806749462155,0.639903938667825,0.999960952824732
H3F3AP5,-0.00249760857499547,0.639910134012349,0.999960952824732
ARHGAP21,-0.0029509678565539,0.640032464081284,0.999960952824732
ABCF1,0.00264998179071156,0.640297342479488,0.999960952824732
TXNDC17,-0.00517928000037015,0.640578508794252,0.999960952824732
KLHL42,-0.00165065979878931,0.640598313940542,0.999960952824732
SCAMP1-AS1,-0.00287081886589846,0.640625547745358,0.999960952824732
ORAI3,-0.000307220628032892,0.640691568678005,0.999960952824732
ASNSD1,-0.00256186818504007,0.640797150317005,0.999960952824732
TMEM127,0.000302863613649811,0.640956140178146,0.999960952824732
TRIM16L,0.000669611739746095,0.641065746279243,0.999960952824732
TOMM22,0.0019846479029876,0.64108529726204,0.999960952824732
GPR65,0.00920881359809355,0.641184386655882,0.999960952824732
HCG11,0.000987465839151926,0.641206586152883,0.999960952824732
VAMP1,-0.00126823388972591,0.641285636086325,0.999960952824732
ATPAF2,-0.000851363986767182,0.641379066854317,0.999960952824732
JTB,0.000513148835202551,0.641486971915235,0.999960952824732
CNBD2,-0.00110656856612891,0.641576984682426,0.999960952824732
POLR1B,-0.000879202635117855,0.641652228424564,0.999960952824732
IFT43,-0.00147820431198881,0.641895271067423,0.999960952824732
SCRIB,0.00111655146737601,0.641993879985499,0.999960952824732
LINC02023,-0.000302418576646968,0.642001232149304,0.999960952824732
COG7,-0.00294237551239175,0.642146638761801,0.999960952824732
GJC1,-0.000178569181371278,0.64226939343521,0.999960952824732
NIT2,-0.00382660415363102,0.642287581367256,0.999960952824732
AL450384.2,0.000298379357859709,0.642352585857514,0.999960952824732
SMIM26,-0.00512381997741944,0.642553264647336,0.999960952824732
GNGT2,0.00222553632244387,0.642596980285095,0.999960952824732
GOT1,-0.00169224362621355,0.64264414428433,0.999960952824732
CXXC1,0.000965853017723958,0.642874232312569,0.999960952824732
ISCA1,0.000812881337930066,0.642917770441379,0.999960952824732
MBLAC2,-0.00122055800602119,0.642924198499018,0.999960952824732
MOCS2,0.00177738673797116,0.643170187133653,0.999960952824732
FNBP1P1,-0.00112739072983445,0.64319387630164,0.999960952824732
SLC35B4,0.00213528779125612,0.643216950214901,0.999960952824732
AKAP13,0.00907995297151635,0.643225436098563,0.999960952824732
ZKSCAN1,-0.00704081661978432,0.64344986105416,0.999960952824732
AC005520.2,-0.000511034222969089,0.643555367335823,0.999960952824732
COX20,-0.00227654018853687,0.643679482481141,0.999960952824732
RPLP2P1,-0.00052731327476073,0.643687870270716,0.999960952824732
RPSAP58,-0.00182225116758419,0.643698649368319,0.999960952824732
EFCAB5,-0.000405801169692878,0.643741967116714,0.999960952824732
PSMA3-AS1,-0.00664674578940998,0.643870051838194,0.999960952824732
AC007318.1,-0.00415290740038129,0.643976515728797,0.999960952824732
ATL3,-0.00107885877914441,0.644006622041396,0.999960952824732
TPRG1L,0.00159276198363111,0.644033322170061,0.999960952824732
LATS2,0.000794163162073549,0.644038820449244,0.999960952824732
GIN1,0.00166033596813053,0.64440723532194,0.999960952824732
SLC26A11,0.00223399985005233,0.644470364676789,0.999960952824732
ZRANB3,-0.000699353267225108,0.644490365240175,0.999960952824732
NDUFS5P5,0.000509439166338447,0.644510871274453,0.999960952824732
KCNAB3,-0.00112853002995115,0.644518395595269,0.999960952824732
PCGF6,0.00128010712329952,0.644572008476425,0.999960952824732
AC019129.1,0.00227816783850369,0.64462283255847,0.999960952824732
RRP36,-0.00218028835486732,0.644749847325143,0.999960952824732
SMAD4,-0.00316417136516725,0.644788121444086,0.999960952824732
AC024060.2,-0.000696153403248016,0.644799252208004,0.999960952824732
BX322784.1,1.47586734549579e-05,0.644854680324922,0.999960952824732
TRIM38,0.00831518227973733,0.644904616320933,0.999960952824732
TPT1-AS1,0.00129320323840073,0.644947909733926,0.999960952824732
CACNB1,-0.000713065863674928,0.645125220460329,0.999960952824732
LTN1,0.00150304536436051,0.645154206095308,0.999960952824732
PCED1A,1.89131338409217e-06,0.645251889004557,0.999960952824732
DNAJB11,0.000478004032197051,0.64528486312298,0.999960952824732
AC020550.1,-0.00174302833422356,0.645304270828997,0.999960952824732
PPP1R12B,0.000889932923937411,0.645376297709023,0.999960952824732
ARFGAP3,-0.000526847577960393,0.645479115592999,0.999960952824732
MPDU1,-0.00128676195097973,0.645644140730401,0.999960952824732
PRPSAP1,0.00189511508771285,0.646057434991172,0.999960952824732
BOLA3,0.000858441912856701,0.646060598229622,0.999960952824732
TRABD,-0.00159102917595345,0.646250705628592,0.999960952824732
AL138721.1,0.00158629210469759,0.646326893801518,0.999960952824732
IGF1R,-0.00542420366618767,0.646485412813601,0.999960952824732
MIIP,0.00102980744102972,0.646516379427984,0.999960952824732
MAD2L1BP,0.000636340307332778,0.646640773586752,0.999960952824732
AL354977.2,0.000227011062538,0.646657567338612,0.999960952824732
AC016542.2,-0.000675062559258172,0.646680951493331,0.999960952824732
THOC3,0.00111016257810116,0.646884872791241,0.999960952824732
EHD4,0.00220216751804184,0.646902554942357,0.999960952824732
TRAJ8,0.000184041905613292,0.646932140909199,0.999960952824732
MOV10,0.000740206906650214,0.646968514040316,0.999960952824732
TPTE2P2,-0.00171110714109883,0.647013694038094,0.999960952824732
AC026462.1,0.000625068994984853,0.647466351556293,0.999960952824732
MBTPS1,0.000642087040257754,0.647522949831455,0.999960952824732
ZNF682,-0.00204955154721108,0.647561404801154,0.999960952824732
YJEFN3,-0.00176779441678132,0.647629886325307,0.999960952824732
SDHB,-0.0027615515930425,0.647699272215334,0.999960952824732
AC241585.2,-0.00131813921664651,0.647725463133718,0.999960952824732
ADGRL1,-0.00373490314970956,0.647818383926589,0.999960952824732
PARP6,-0.000406594259375878,0.64784310749225,0.999960952824732
RFWD3,0.000528944816921189,0.647990379409604,0.999960952824732
BX890604.2,-0.00153629651929363,0.647996766435134,0.999960952824732
USP30,-0.000931754207838501,0.648244819103159,0.999960952824732
INTS10,0.00167009637517827,0.648352400793131,0.999960952824732
ASB7,-0.000337440879071091,0.64842214880481,0.999960952824732
RHEBL1,-0.00101083529820534,0.648539373640586,0.999960952824732
MCF2L,-9.57085854094284e-06,0.648623279251337,0.999960952824732
AC107075.1,-0.00899192041386064,0.648659255956226,0.999960952824732
NACAP5,0.000868319070500966,0.648665766985008,0.999960952824732
HSPA8P1,0.00112849527142327,0.649106984311324,0.999960952824732
ZFAND5,-0.00310578667046345,0.64914006708094,0.999960952824732
DUSP22,0.00260479084623842,0.649174501329987,0.999960952824732
DYNC1H1,-0.00311209710389556,0.649251968796344,0.999960952824732
MECP2,0.00735452829731378,0.649300681564928,0.999960952824732
ISOC2,0.00173302943673111,0.649302817837363,0.999960952824732
AC090543.2,-0.00197138444415851,0.649356656427772,0.999960952824732
BID,-0.000759080987358021,0.649387956950638,0.999960952824732
MGME1,-0.000331207461100895,0.649404389196669,0.999960952824732
PMM1,0.000134289574752468,0.649421178796948,0.999960952824732
NUP50,-0.00691277611219306,0.649463449193702,0.999960952824732
LRWD1,-0.000197490810844831,0.649496345541254,0.999960952824732
KBTBD11,0.000800201498338522,0.649677003185599,0.999960952824732
DANCR,0.00170295924847326,0.649719384737365,0.999960952824732
SPDYE16,-0.00123186916003858,0.649720566257311,0.999960952824732
KCTD11,0.000204583990439991,0.649721006868931,0.999960952824732
VOPP1,-0.00287849360438906,0.649764280833704,0.999960952824732
DLGAP1-AS1,0.00153525584787917,0.649922633846197,0.999960952824732
CALU,-0.00222807904254119,0.649986724723258,0.999960952824732
CRIP2,0.00187378845759722,0.650003026303487,0.999960952824732
NAT14,-0.00117938254857026,0.650018913969862,0.999960952824732
ATXN7L3B,-0.00622960002568538,0.650034692327018,0.999960952824732
MTREX,0.0027175799174055,0.650090673269148,0.999960952824732
ABHD10,-0.00298729273922599,0.650099467991563,0.999960952824732
DHRS12,0.000454413206201666,0.650214136182533,0.999960952824732
METTL7A,-0.00246877338596999,0.650217897068332,0.999960952824732
NFE2L2,-0.00278230696162428,0.650271199794334,0.999960952824732
BUB1,-0.000606735084188299,0.650347017950952,0.999960952824732
AC090602.1,-0.00116112275785179,0.650372245769269,0.999960952824732
COG8,-0.000512871605407412,0.650581452719292,0.999960952824732
NPM1P35,-0.000298183998222335,0.650590029519538,0.999960952824732
HAUS8,-0.00246800046701956,0.650610993394551,0.999960952824732
HSD17B7P2,0.00106442736735651,0.650628844142291,0.999960952824732
IDH2,-0.00948774275946373,0.650766051618633,0.999960952824732
TRIM56,0.0105350710806041,0.650824978004203,0.999960952824732
FAM50A,0.00483543847401346,0.650861770546376,0.999960952824732
RPL6P24,-0.000909945171733266,0.650951418979317,0.999960952824732
AC025171.4,-0.000515152212873884,0.651111318694066,0.999960952824732
PPP5C,-0.000812861950363559,0.651231697454428,0.999960952824732
SQSTM1,0.00452364642521195,0.651275445519668,0.999960952824732
RPL39L,-0.00229996328825188,0.651291285655987,0.999960952824732
DYNLT1,0.0016014434871948,0.651302233407882,0.999960952824732
MLH1,-0.000685256991099051,0.651351527327502,0.999960952824732
ZDHHC16,-0.00298866507057273,0.65136468447455,0.999960952824732
ERLIN1,0.000985953256476851,0.651384042584985,0.999960952824732
AC117382.1,0.000138317649558074,0.651423244899992,0.999960952824732
TBC1D10A,0.00116164061713638,0.651535923785329,0.999960952824732
TP53BP1,-0.00485545175149328,0.651575717959055,0.999960952824732
LZTR1,0.00170273920524607,0.65160904239665,0.999960952824732
AC007325.4,-0.000690605760827794,0.651624290611471,0.999960952824732
HIPK1,-0.00060194560286963,0.651626218064472,0.999960952824732
CDYL2,-0.00203845106901864,0.651673134182119,0.999960952824732
SLC25A35,-0.00434444840447164,0.651678117568272,0.999960952824732
SLC5A6,-7.14030259081054e-06,0.65187105442227,0.999960952824732
EXOSC1,-0.00130983935687911,0.651871615542151,0.999960952824732
GCSH,-0.000447175618809832,0.651952018865139,0.999960952824732
SULT1A1,-0.000314287009165952,0.652052676881965,0.999960952824732
MSRA,-0.000352935306041234,0.652103701413239,0.999960952824732
VASP,0.00161445884729019,0.652369600161866,0.999960952824732
TSTD1,-0.000728134063691607,0.652398467665917,0.999960952824732
AC133555.4,-0.00471087562695262,0.652437769649001,0.999960952824732
EVA1C,0.00113154724520795,0.652517611573678,0.999960952824732
RPS4XP14,-0.000491656062903305,0.652530306504049,0.999960952824732
EEF1B2P2,0.00984905796949957,0.652550065640862,0.999960952824732
ZNF32,-0.00378370298696554,0.652670532111427,0.999960952824732
HAND2-AS1,0.00013164900180444,0.652737053654644,0.999960952824732
ZC3H10,0.000697259658018029,0.652754169983827,0.999960952824732
TOR1AIP2,-0.00320384094605692,0.652763967436186,0.999960952824732
PUS7L,-0.00307774799453339,0.653071079714867,0.999960952824732
FKBP15,0.00138189105639212,0.653305699269226,0.999960952824732
LINC00426,-0.000776321583049406,0.653312325814598,0.999960952824732
SPPL2B,-0.00074345501144961,0.653398488222104,0.999960952824732
AC012618.2,-0.000116277692385874,0.653525048037385,0.999960952824732
HSP90AB2P,-0.000192050817382152,0.653527175410023,0.999960952824732
SERP1,-0.00828539378825378,0.653606140679231,0.999960952824732
COMMD5,-0.00255512539083914,0.653653144893684,0.999960952824732
HERC1,-0.00933541428646918,0.653701376241252,0.999960952824732
RPL5P23,-0.00437444880483477,0.653779440931883,0.999960952824732
RETREG2,-0.00321000051004092,0.653911431633456,0.999960952824732
AL049737.1,-0.00259009765963411,0.654042988604591,0.999960952824732
RPL36AP13,-0.00161187395316081,0.654051315352477,0.999960952824732
PLCH2,0.000396933958417518,0.654176804595566,0.999960952824732
POLDIP3,-0.00415780559971491,0.6542124117641,0.999960952824732
FAM207A,0.00294509201589771,0.654267121384629,0.999960952824732
WDR45B,-0.00550115412722136,0.654408615233002,0.999960952824732
NSUN5P1,-0.00272813513278609,0.654409833971524,0.999960952824732
UBE2Q1,-0.00129409228501284,0.654483041571489,0.999960952824732
LYL1,-0.00173588213798465,0.654513707377283,0.999960952824732
AC132872.1,-0.000248998141548442,0.654557407068239,0.999960952824732
ARL4C,0.0108120442545116,0.65479084294518,0.999960952824732
SBNO1-AS1,-0.00130685644002323,0.654874606881517,0.999960952824732
SHLD2P1,0.000961648835142136,0.654896206064308,0.999960952824732
DDX19B,-0.000668233170913519,0.654923571781833,0.999960952824732
ADCK2,-0.000345247736646791,0.655102203611,0.999960952824732
TTPAL,-0.000795240167251937,0.655156898038184,0.999960952824732
AC136475.1,-0.00217570225749835,0.655178054198587,0.999960952824732
NFYC,-0.00247988956905314,0.655212107879774,0.999960952824732
ST6GALNAC4,0.00144000672285857,0.655224101372367,0.999960952824732
MSH3,0.0017561495347726,0.655225737370689,0.999960952824732
NDUFA8,0.000303015889086667,0.655396700043114,0.999960952824732
