,logFC,p.value,FDR
SPRY1,-0.00261025133855343,4.57130778190813e-10,3.37660952014934e-08
BTN3A2,0.0353652686547739,4.82057526356192e-10,3.54237736893498e-08
TBX21,0.0123578641801237,4.98839155747678e-10,3.64689795094303e-08
MDM4,-0.037214691215647,5.30100305404142e-10,3.85566834379666e-08
ATP6V1A,-0.00158570138317226,5.81148131548505e-10,4.20550647886065e-08
AC026471.1,0.00259938699118039,5.99797340528145e-10,4.31854085180264e-08
KIF15,-0.00343136184051213,6.33246902123613e-10,4.53646624958504e-08
RPL41P5,-0.0153361595009778,6.40546325648632e-10,4.56581420922345e-08
ZNF669,0.000940771063967909,7.74848178418424e-10,5.49563961767814e-08
ITGB2-AS1,-0.0329878946370075,9.33899536133517e-10,6.58137011787388e-08
CEP162,-0.00192594859167988,9.37161990690515e-10,6.58137011787388e-08
CHI3L2,-0.0104343680935071,1.04167065063466e-09,7.27943960561165e-08
SNORD3B-1,0.0372536772372454,1.24418441483842e-09,8.65224049655437e-08
ADAMTS10,-0.0240683455540505,1.34235827960313e-09,9.28964059903991e-08
CLIC3,0.00675547713542562,1.47062403524295e-09,1.01281237905428e-07
CCL4,0.0307229288358848,2.38119077004154e-09,1.62567746561786e-07
RIOX1,0.0025886928793535,2.38332344496445e-09,1.62567746561786e-07
TBCCD1,0.000797076993310306,2.64003516132214e-09,1.79220672665754e-07
SRGN,0.050434910457234,3.00573294606691e-09,2.03079283787346e-07
AC246787.1,-0.0433328891795941,3.13501266762253e-09,2.10814814102013e-07
LRP2BP,-0.000971071946932635,3.17589563374729e-09,2.12561352838973e-07
PSRC1,-0.000924983396837228,3.31042586993122e-09,2.20530052344577e-07
MTRNR2L8,0.0335441808073836,3.50717643129876e-09,2.32550266067884e-07
TPRN,0.00209295939229089,4.31326062653199e-09,2.84675201351111e-07
GZMH,0.0184209194515589,4.36087076306482e-09,2.8649112257259e-07
FCGRT,-0.0079481077142196,4.43908626636997e-09,2.9029180648335e-07
TFDP2,-0.0310986811991136,4.68958458685678e-09,3.05272684338951e-07
SLC1A4,-0.00118942224746213,4.83527881246351e-09,3.13326067047635e-07
DMWD,-0.00077065647387835,4.91329913848126e-09,3.16941142616239e-07
AC244669.1,0.0413590770150869,5.36228972656184e-09,3.4434595649489e-07
AC010733.1,-0.0143786556333073,5.43265662025252e-09,3.46236857611579e-07
TUBA1A,-0.0114663378853124,5.44030977167464e-09,3.46236857611579e-07
GBP5,0.0305244585010408,5.86880530414623e-09,3.71847504070705e-07
RFLNB,-0.026216726885987,6.20557915162173e-09,3.91445736219112e-07
CCNE2,-0.00331536752928195,6.71871295025332e-09,4.21947012417671e-07
MTCO1P12,0.0276395922836747,7.23409130740136e-09,4.52321077536464e-07
RPS13,-0.0461323872534657,7.65425917793783e-09,4.76502702361056e-07
LTB4R,0.00474472951261094,7.7975348191547e-09,4.83311549486389e-07
CHST2,-0.019046423466099,8.21113411053725e-09,5.06744276536013e-07
SNX11,-0.000560521184100285,8.76248142537383e-09,5.38439375862626e-07
PGM2L1,-0.0212952077093764,8.8614551705355e-09,5.42184141249589e-07
GTF2I,-0.0357908294829393,9.46447375961109e-09,5.7660486289323e-07
TESPA1,-0.0309796105848276,9.80741671429995e-09,5.94955458208767e-07
HMGB2,-0.0058228718501723,1.0065445959784e-08,6.08021176282543e-07
RRP12,0.000410566928076682,1.03556887294158e-08,6.22914339774478e-07
SPOCK2,0.0400290254404348,1.06747662670527e-08,6.39409529004638e-07
PDK2,-0.00321812288497145,1.10623992001558e-08,6.59855912123101e-07
HDAC7,-0.041312365253798,1.30137052099451e-08,7.73014089470738e-07
AC020916.1,0.00705295585986865,1.32604818569586e-08,7.84404271173453e-07
RPL32,-0.0294840377079337,1.33544776689279e-08,7.86700139042301e-07
PPP2R2D,-0.00443691206698836,1.51738505841738e-08,8.9019923427153e-07
BAG2,0.000417548641457395,1.6902933665619e-08,9.87574681709282e-07
MAST4,-0.0200482168683338,1.85882482430024e-08,1.08160843653976e-06
GLA,-0.000985936312731012,1.90983747144775e-08,1.10677410540484e-06
RRM2,-0.00347491254250075,2.04129495781409e-08,1.17816602909302e-06
MTCO3P22,-0.0255567532257854,2.46542854560572e-08,1.41722376395787e-06
PDCD4,0.0274994663822362,2.56609188101338e-08,1.46916489380428e-06
PPIAP31,-0.0367997195589308,2.61061420158337e-08,1.4886766423109e-06
AL161787.1,0.0290949468104111,2.63189832314345e-08,1.49483436233996e-06
GTF2IP1,-0.0400990244289205,2.69027556349191e-08,1.52192731877542e-06
OR2A9P,-0.00203234175220592,2.70228404661818e-08,1.52267831496398e-06
SPC24,-0.000566497217998303,2.88219940953189e-08,1.6176627867042e-06
MTATP6P1,0.0207760373122896,2.93065883288709e-08,1.63841067927994e-06
HNRNPA1P10,-0.0300295853616348,2.94999184530065e-08,1.6427767088518e-06
PTMAP2,-0.0541802670005186,2.97910712727258e-08,1.65253506639681e-06
RPS20P14,-0.056719054449574,3.14585716890834e-08,1.73826898449447e-06
ARHGEF5,-0.00306531882093052,3.16861367324882e-08,1.74408326354576e-06
LINC02591,0.00875726047681572,3.23091701463833e-08,1.771536652334e-06
KNL1,-0.0036980398542116,3.40421362089478e-08,1.85940495706805e-06
CALM1,0.050623743401082,3.43480517274833e-08,1.86895353216413e-06
DLGAP5,-0.00309815770307798,3.53265690748241e-08,1.91488809403305e-06
CCDC88A,-0.0262788347064004,3.5894915615101e-08,1.93832544321545e-06
IKZF3,0.0396176260320481,4.00701353704929e-08,2.15562207487452e-06
PPIAP22,-0.0394649042260811,4.33742235698237e-08,2.32459748575717e-06
TADA2B,0.00996229857264561,4.40533652255381e-08,2.35215271406468e-06
LYAR,0.0330794497235099,4.45764506447634e-08,2.37120104623786e-06
SEPTIN9,-0.0388742043501561,4.62803124629437e-08,2.45268451476478e-06
LIMS2,-0.0153650168838399,4.67431662387583e-08,2.46803917740644e-06
BICRA,-0.00701659768976236,4.94419810202313e-08,2.59795694889286e-06
CXCR6,0.0293377504566524,4.96020127505882e-08,2.59795694889286e-06
RPL9,-0.00491906072561219,4.97504382048086e-08,2.59795694889286e-06
KLF2,0.0248243894611538,5.22600787065027e-08,2.7190499344522e-06
RGS2,0.0041228834764536,5.31864922103828e-08,2.75718775618625e-06
HOPX,0.0272228853228147,5.45143226195697e-08,2.81578327269777e-06
RPL35A,-0.0303050216758333,5.62292527837431e-08,2.89387807828535e-06
MTND4P12,0.0435716419448141,5.89855900753054e-08,3.02481500760271e-06
SPC25,-0.00239091639214841,6.54666129793015e-08,3.34513274061979e-06
BCL2L12,-0.00201142094255249,7.61719012898745e-08,3.87714049082595e-06
MMADHC,-0.000121650834498603,7.66866905465611e-08,3.87714049082595e-06
RPL13AP25,0.00030885840314294,7.66942773858669e-08,3.87714049082595e-06
CEBPD,0.0262303105997609,8.64758789751797e-08,4.35618420731506e-06
WDR90,-0.000691678448184996,8.70076897803825e-08,4.36754093489131e-06
CDK1,-0.00292305680638755,8.84719813844785e-08,4.42546163725307e-06
SNHG14,-0.022168992104045,9.67431495614613e-08,4.82227391660207e-06
TIPIN,0.000912602894340512,9.826421762259e-08,4.88102678197785e-06
ESCO2,-0.00152457861253605,9.94476792193142e-08,4.92266012135605e-06
GAPDHP73,-0.012945208598969,1.01292630284928e-07,4.99663576934927e-06
RPS7P14,-0.0433648068388588,1.10015502442943e-07,5.40821035457449e-06
RPS13P2,-0.0451592943864582,1.11236769395959e-07,5.44945492958347e-06
MSN,0.0329334208600928,1.11715868391422e-07,5.45418294447984e-06
AC127496.7,9.70838376432164e-05,1.17424851834818e-07,5.71334023125313e-06
ANXA1,0.0318985935218967,1.19276023535141e-07,5.78367003917334e-06
PLOD1,0.00270612981154853,1.26588174871296e-07,6.11742718971251e-06
GUF1,-0.00471242454726869,1.3276963818362e-07,6.39447284441108e-06
AC010343.1,-0.0409987832667076,1.42697397289337e-07,6.84947506988819e-06
MT1XP1,0.0179995137372561,1.59686713541543e-07,7.63924090016186e-06
DONSON,-0.000115023879145379,1.85414300660273e-07,8.81423846700369e-06
SLC25A5,-0.0403714601513237,1.85484816224825e-07,8.81423846700369e-06
UBL5P2,-0.00449677190653564,1.88236353459077e-07,8.91527393658671e-06
SETD4,-0.00183576575571092,1.90641831981372e-07,8.99930449247163e-06
NINJ2,-0.00104648489794148,1.96185517382558e-07,9.23043147130609e-06
AC112191.2,-0.0381125223737353,1.97935033203931e-07,9.28211129393171e-06
RNF213,0.0474504467655196,2.03453958486246e-07,9.50963813829485e-06
IMMP1LP2,-0.00174013573861428,2.24463519425885e-07,1.04573592579589e-05
RPL10P16,-0.040861655463707,2.30949834691114e-07,1.07244978610962e-05
GNG5P1,-0.0023573671374869,2.50735670582877e-07,1.1605479609836e-05
GNAQ,-0.0190672131208509,2.51681612369105e-07,1.16115633201746e-05
PPIAP29,-0.0351843071963334,2.77449097099707e-07,1.27590784782368e-05
KIF23,0.00175395102694176,3.03133855282e-07,1.38954219964637e-05
AC024940.3,-0.0133038293359097,3.04567620158343e-07,1.39163974133889e-05
AC078817.1,-0.0493562067862614,3.12507427658683e-07,1.42335651396236e-05
TMA7,-0.0260730550159527,3.22391405186195e-07,1.46369804851414e-05
MYL6,-0.0338926139559542,3.25096989202333e-07,1.4712960882757e-05
AC009413.1,-0.0186365003232471,3.35081335140562e-07,1.51110201165147e-05
CAP1,0.0349727714555607,3.36808900279813e-07,1.51110201165147e-05
MIR1244-3,-0.0458193037895377,3.3707241842394e-07,1.51110201165147e-05
SNRPEP4,-0.0118037828949224,3.412907501618e-07,1.52521659382653e-05
CCP110,0.00413384292253612,3.57721889538704e-07,1.59365101789493e-05
HMGN2P5,-0.00226361450074521,3.59187817384576e-07,1.59519673664627e-05
AC129507.1,-0.00114029280565581,3.7250657679335e-07,1.64920924185279e-05
RPL6P27,-0.0446655572604802,3.79766830879352e-07,1.67614735015977e-05
PPIA,-0.0249230210870183,3.85877879251181e-07,1.6978626687052e-05
COX7CP1,-0.0360684474826619,3.95654846726417e-07,1.73552476767132e-05
CHMP7,-0.0195393696035893,3.97543445702924e-07,1.73845992697573e-05
USP27X,-0.00175635325194293,4.00680150381532e-07,1.74681841707618e-05
LINC01307,-0.0121516527329966,4.18397898079608e-07,1.81850013262893e-05
NAPRT,-0.000909324034113841,4.24223005258399e-07,1.8382137273446e-05
HDAC4,-0.0154306816495674,4.46724902079616e-07,1.92985157698394e-05
PDCD1,-0.0161592061829753,4.54331713615978e-07,1.95678335628682e-05
WIPI1,-0.0042225615702566,4.70983881675505e-07,2.02239343890542e-05
HSPA8P16,0.00498228895644391,4.75761219854222e-07,2.03677235742997e-05
RPL19,0.00570207035645075,5.16887473014424e-07,2.2062119207466e-05
PFN1,-0.00864068089855224,5.2376367068136e-07,2.22888802663685e-05
AC106800.1,3.6639156618696e-05,5.34611829402645e-07,2.26828161903694e-05
SLC40A1,-0.00239213868539752,5.44015343126051e-07,2.30133018741988e-05
RPL18,-0.0393973773992771,5.63223157494547e-07,2.37553530569298e-05
ZNF341,-0.000263846411179976,5.91110310861973e-07,2.48580194443902e-05
RPL21P129,0.00157355348636419,6.42153178529873e-07,2.69221272455097e-05
IGHM,-0.00128702874766075,6.43970636273766e-07,2.69221272455097e-05
TMEM267,-0.00263739390150985,6.62184939236702e-07,2.76026564144983e-05
TYROBP,0.0241356695793962,6.71704051572615e-07,2.79178220385399e-05
DIP2A,0.034319439824489,6.85200216501972e-07,2.83959717629422e-05
HSPA8P8,0.00180137172916004,7.10755019266628e-07,2.93696334917827e-05
DIPK1A,-0.000847776853444883,7.58846032010817e-07,3.12662110761451e-05
GAPDHP68,-0.00194981358418989,7.84792493420545e-07,3.22420800755138e-05
MED9,-0.00262051635747928,8.35691942945357e-07,3.42345526972098e-05
BTG1,0.01297528053992,8.61371244986058e-07,3.51854110845881e-05
AC091153.1,-0.00982370664286766,8.81845810683205e-07,3.59188396488565e-05
TCF12,-0.019132205306585,9.83095321985973e-07,3.99287946160457e-05
RPL6,-0.0408429582879018,1.02621987616706e-06,4.15619049847659e-05
PDLIM1,-0.00116026766716917,1.04680082685474e-06,4.22753331094653e-05
ADGRG1,0.0160748122967181,1.08280977806515e-06,4.36060344522506e-05
SLC9A1,0.00465515317207731,1.13541697665875e-06,4.55957870964707e-05
NONO,-0.0265752055241952,1.18013120022514e-06,4.72582876135099e-05
DSE,-0.000242804274744682,1.21930092278969e-06,4.8690067101652e-05
RHOH,-0.0295785355305917,1.22468338925365e-06,4.87683977575418e-05
HPGDS,-0.00542446167197189,1.24647354855283e-06,4.9497846540861e-05
VASH1-AS1,-0.00385936361381628,1.26767279982208e-06,5.01998428729545e-05
AC015883.1,-0.00296554322321824,1.33560812655585e-06,5.26902920899994e-05
